Day  A/B       B/C       A/C       
-----------------------------------
1    20.0409   9.9664    199.7365  
2    20.1755   10.0826   203.4211  
3    19.9385   10.1574   202.5230  
4    20.0854   10.2325   205.5244  
5    20.1834   10.2572   207.0259  
6    20.3649   10.4051   211.8980  
7    20.1921   10.3486   208.9612  
8    20.1500   10.4249   210.0612  
9    20.3854   10.3175   210.3264  
10   20.5643   10.3342   212.5155  
11   20.4150   10.3338   210.9631  
12   20.4717   10.3078   211.0185  
13   20.1510   10.3850   209.2687  
14   19.9694   10.2829   205.3428  
15   20.0539   10.3168   206.8911  
16   19.8106   10.2110   202.2848  
17   19.7394   10.2715   202.7539  
18   19.6035   10.2470   200.8778  
19   19.8941   10.3169   205.2451  
20   19.7007   10.3106   203.1268  
21   19.4981   10.2362   199.5858  
22   19.5097   10.2349   199.6809  
23   19.4524   10.1877   198.1764  
24   19.4997   10.1634   198.1831  
25   19.6763   10.1613   199.9366  
26   19.5729   10.2445   200.5147  
27   19.5523   10.2934   201.2594  
28   19.7865   10.3217   204.2306  
29   19.7331   10.2665   202.5893  
30   19.7139   10.2602   202.2684  
